sc_id,sc_set_id,sc_key,sc_type,sc_content,sc_updated,sc_default,sc_tab_key,sc_show_in_vse,sc_title,sc_order,sc_condition
666,1,body_font,Select,"[{""key"":""default"",""value"":""Default""},{""key"":""Lato"",""value"":""Lato""},{""key"":""Open Sans"",""value"":""Open Sans""},{""key"":""Roboto"",""value"":""Roboto""},{""key"":""Roboto Slab"",""value"":""Roboto Slab""},{""key"":""Montserrat"",""value"":""Montserrat""},{""key"":""Merriweather"",""value"":""Merriweather""}]",1501782239,Roboto,textcolors,TRUE,themesetting_body_font,1,
982,7,ajax_pagination,YesNo,"[{""key"":"""",""value"":""""}]",0,1,custom,TRUE,themesetting_ajax_pagination,11,
983,7,alternate_button,Color,"[{""key"":"""",""value"":""""}]",0,#3e4148,buttoncolors,FALSE,themesetting_alternate_button,3,
984,7,alternate_button_font,Color,[],0,#ffffff,buttoncolors,FALSE,themesetting_alternate_button_font,4,
985,7,area_background,Color,[],0,#e6e8eb,frontendcolors,FALSE,themesetting_area_background,11,
986,7,area_background_dark,Color,[],0,#353c41,frontendcolors,FALSE,themesetting_area_background_dark,12,
987,7,area_background_light,Color,[],0,#f8f8f8,frontendcolors,FALSE,themesetting_area_background_light,13,
988,7,area_background_reset,Color,[],0,#ffffff,frontendcolors,FALSE,themesetting_area_background_reset,14,
989,7,body_font,Select,"[{""key"":""default"",""value"":""Default""},{""key"":""Lato"",""value"":""Lato""},{""key"":""Open Sans"",""value"":""Open Sans""},{""key"":""Roboto"",""value"":""Roboto""},{""key"":""Roboto Slab"",""value"":""Roboto Slab""},{""key"":""Montserrat"",""value"":""Montserrat""},{""key"":""Merriweather"",""value"":""Merriweather""}]",0,Roboto,textcolors,TRUE,themesetting_body_font,1,
990,7,button_bar,Color,[],0,#ffffff,buttoncolors,FALSE,themesetting_button_bar,13,
991,7,comment_count,Color,[],0,#353c41,frontendcolors,FALSE,themesetting_comment_count,38,
992,7,comment_count_font,Color,[],0,#ffffff,frontendcolors,FALSE,themesetting_comment_count_font,39,
993,7,countdown_date,Text,[],0,2018/01/23 12:34,z50_countdown,FALSE,f_countdown_date,3,
994,7,countdown_done,Text,[],0,Countdown has finished!,z50_countdown,FALSE,f_countdown_done,5,
995,7,countdown_enable,YesNo,[],0,0,z50_countdown,FALSE,f_countdown_enable,1,
996,7,countdown_timezone,Text,[],0,,z50_countdown,FALSE,f_countdown_timezone,4,
997,7,countdown_title,Text,[],0,,z50_countdown,FALSE,f_countdown_title,2,
998,7,enable_fluid_width,YesNo,"[{""key"":"""",""value"":""""},{""key"":"""",""value"":""""}]",0,0,custom,TRUE,themesetting_enable_fluid_width,7,
999,7,feature_1,YesNo,[],0,0,z80_other,FALSE,f_feature_1,1,
1000,7,feature_2,YesNo,[],0,0,z80_other,FALSE,f_feature_2,2,
1001,7,featured,Color,[],0,#d66723,frontendcolors,FALSE,themesetting_featured_color,40,
1002,7,ficon_color,Color,[],0,333,z40_ficons,FALSE,f_ficon_color,4,
1003,7,ficon_height,Number,[],0,30,z40_ficons,FALSE,f_ficon_height,7,
1004,7,ficon_heightr,Number,[],0,20,z40_ficons,FALSE,f_ficon_heightr,10,
1005,7,ficon_image,Upload,[],0,,z40_ficons,FALSE,f_ficon_image,13,
1006,7,ficon_imagenew,Upload,[],0,,z40_ficons,FALSE,f_ficon_imagenew,12,
1007,7,ficon_radius,Number,[],0,3,z40_ficons,FALSE,f_ficon_radius,5,
1008,7,ficon_read,Text,[],0,f0e6,z40_ficons,FALSE,f_ficon_read,1,
1009,7,ficon_size,Number,[],0,18,z40_ficons,FALSE,f_ficon_size,8,
1010,7,ficon_sizer,Number,[],0,14,z40_ficons,FALSE,f_ficon_sizer,11,
1011,7,ficon_trans,YesNo,[],0,0,z40_ficons,FALSE,f_ficon_trans,3,
1012,7,ficon_unread,Text,[],0,f0e6,z40_ficons,FALSE,f_ficon_unread,2,
1013,7,ficon_width,Number,[],0,30,z40_ficons,FALSE,f_ficon_width,6,
1014,7,ficon_widthr,Number,[],0,20,z40_ficons,FALSE,f_ficon_widthr,9,
1015,7,fixedWidth,Number,[],0,1400,custom,FALSE,f_fixedWidth,9,
1016,7,fluid_width_size,Number,[],0,95,custom,TRUE,themesetting_fluid_width_size,8,
1017,7,focus_b1,TextArea,[],0,,z80_other,FALSE,focus_b1,6,
1018,7,focus_b2,TextArea,[],0,,z80_other,FALSE,focus_b2,7,
1019,7,focus_b3,TextArea,[],0,,z80_other,FALSE,focus_b3,8,
1020,7,focus_editor,Color,[],0,e9e9e9,frontendcolors,FALSE,f_editor_background,41,
1021,7,focus_editor_color,Color,[],0,5a5a5a,frontendcolors,FALSE,f_editor_color,42,
1022,7,focus_logo,Text,[],0,,z10_header,FALSE,f_logo,2,
1023,7,focus_picker,YesNo,[],0,1,z20_picker,FALSE,f_bp_enabled,1,
1024,7,focus_picker_number,Select,"[{""key"":""2"",""value"":""2""},{""key"":""3"",""value"":""3""},{""key"":""4"",""value"":""4""},{""key"":""5"",""value"":""5""},{""key"":""6"",""value"":""6""}]",0,4,z20_picker,FALSE,f_picker_number,2,
1025,7,focus_slogan,Text,[],0,,z10_header,FALSE,f_slogan,3,
1026,7,focus_social,YesNo,[],0,1,z30_social,FALSE,f_social_enable,1,
1027,7,footer_c1,TextArea,[],0,,z70_footer,FALSE,f_footer_c1,4,
1028,7,footer_c2,TextArea,[],0,,z70_footer,FALSE,f_footer_c2,5,
1029,7,footer_c3,TextArea,[],0,,z70_footer,FALSE,f_footer_c3,6,
1030,7,footer_c4,TextArea,[],0,,z70_footer,FALSE,f_footer_c4,7,
1031,7,footer_c5,TextArea,[],0,,z70_footer,FALSE,f_footer_c5,8,
1032,7,footer_c6,TextArea,[],0,,z70_footer,FALSE,f_footer_c6,9,
1033,7,footer_columns,Select,"[{""key"":""1"",""value"":""1""},{""key"":""2"",""value"":""2""},{""key"":""3"",""value"":""3""},{""key"":""4"",""value"":""4""},{""key"":""5"",""value"":""5""},{""key"":""6"",""value"":""6""}]",0,4,z70_footer,FALSE,f_footer_columns,3,
1034,7,footer_enable,YesNo,[],0,0,z70_footer,FALSE,f_footer_enable,1,
1035,7,footer_mobile,YesNo,[],0,0,z70_footer,FALSE,f_footer_mobile,2,
1036,7,footer_text,Color,[],0,#353c41,textcolors,FALSE,themesetting_footer_text,12,
1037,7,global_close,YesNo,[],0,1,z60_global,FALSE,f_global_close,4,
1038,7,global_cookie,Text,[],0,1,z60_global,FALSE,f_global_cookie,5,
1039,7,global_enable,YesNo,[],0,0,z60_global,FALSE,f_global_enable,1,
1040,7,global_style,Select,"[{""key"":""success"",""value"":""Success""},{""key"":""error"",""value"":""Error""},{""key"":""general"",""value"":""General""}]",0,success,z60_global,FALSE,f_global_style,2,
1041,7,global_text,Editor,[],0,,z60_global,FALSE,f_global_text,3,
1042,7,header,Color,[],0,#3d6594,frontendcolors,FALSE,themesetting_header,2,
