perm_id,app,perm_type,perm_type_id,perm_view,perm_2,perm_3,perm_4,perm_6,owner_only
179,forums,forum,158,"4,13,6,10","4,13,6,10","4,13,6,10","4,13,6,10",,FALSE
180,forums,forum,159,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",,FALSE
185,forums,forum,163,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",,FALSE
186,forums,forum,164,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",,FALSE
187,forums,forum,165,"4,13,6,10","4,13,6,10","4,13,6,10","4,13,6,10",,FALSE
188,forums,forum,166,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",,FALSE
189,forums,forum,167,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",,FALSE
190,forums,forum,168,"4,13,6,10","4,13,6,10","4,13,6,10","4,13,6,10",,FALSE
191,forums,forum,169,"4,2,13,6,10,17,19,18,20","4,2",4,4,,FALSE
192,forums,forum,170,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",,FALSE
193,forums,forum,171,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",,FALSE
199,forums,forum,172,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",,FALSE
200,forums,forum,173,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",,FALSE
268,core,module,42,*,,,,,FALSE
269,core,module,43,*,,,,,FALSE
203,core,module,44,"13,4,6,10,7",,,,,FALSE
204,core,module,1,*,,,,,FALSE
205,core,module,2,*,,,,,FALSE
206,core,module,3,*,,,,,FALSE
207,core,module,4,*,,,,,FALSE
208,core,module,5,*,,,,,FALSE
209,core,module,6,*,,,,,FALSE
210,core,module,7,*,,,,,FALSE
211,core,module,8,*,,,,,FALSE
212,core,module,9,*,,,,,FALSE
213,core,module,10,*,,,,,FALSE
214,core,module,11,*,,,,,FALSE
215,core,module,12,*,,,,,FALSE
216,core,module,13,*,,,,,FALSE
217,core,module,14,*,,,,,FALSE
218,core,module,15,*,,,,,FALSE
219,core,module,16,*,,,,,FALSE
220,core,module,17,*,,,,,FALSE
221,core,module,18,*,,,,,FALSE
222,core,module,19,*,,,,,FALSE
223,core,module,20,*,,,,,FALSE
224,core,module,21,*,,,,,FALSE
225,core,module,22,*,,,,,FALSE
226,core,module,23,*,,,,,FALSE
227,core,module,24,*,,,,,FALSE
228,core,module,25,*,,,,,FALSE
229,core,module,26,*,,,,,FALSE
230,core,module,27,*,,,,,FALSE
231,core,module,28,*,,,,,FALSE
232,core,module,29,*,,,,,FALSE
233,core,module,30,*,,,,,FALSE
234,core,module,31,*,,,,,FALSE
235,core,module,32,*,,,,,FALSE
236,core,module,33,*,,,,,FALSE
237,core,module,34,*,,,,,FALSE
238,core,module,35,*,,,,,FALSE
239,core,module,36,*,,,,,FALSE
240,core,module,37,*,,,,,FALSE
198,calendar,calendar,1,"6,10,13,4,2,20,18,19,17","6,10,13,4,2,20,18,19,17","6,10,13,4,20,18,19","6,10,13,4,20,18,19",,FALSE
241,forums,forum,174,"6,10,13,4,2,17,19,18,20","6,10,13,4,2,17,19,18,20","6,10,13,4,19,18,20","6,10,13,4,19,18,20",,FALSE
242,forums,forum,175,"6,10,13,4,2,17,19,18,20","6,10,13,4,2,17,19,18,20","6,10,13,4,19,18,20","6,10,13,4,19,18,20",,FALSE
243,forums,forum,176,"6,10,13,4,2,17,19,18,20","6,10,13,4,2,17,19,18,20","6,10,13,4,19,18,20","6,10,13,4,19,18,20",,FALSE
244,calendar,calendar,2,"6,10,13,4,2,20,18,19,17","6,10,13,4,2,20,18,19,17","6,10,13,4,20,18,19","6,10,13,4,20,18,19",,FALSE
245,calendar,calendar,3,"6,10,13,4,2,20,18,19,17","6,10,13,4,2,20,18,19,17","6,10,13,4,20,18,19","6,10,13,4,20,18,19",,FALSE
