url,app,lang_key,restriction,keyword
app=core&module=settings&controller=posting&tab=general&searchResult=form_topic_redirect_prune,core,topic_redirect_prune,,shadow
app=core&module=settings&controller=posting&tab=general&searchResult=form_reviews_rating_out_of,core,reviews_rating_out_of,,ratings
app=core&module=settings&controller=posting&tab=general&searchResult=form_merge_concurrent_posts,core,merge_concurrent_posts,,merge
app=core&module=settings&controller=posting&tab=general&searchResult=form_merge_concurrent_posts,core,merge_concurrent_posts,,concurrent
app=core&module=settings&controller=posting&tab=general&searchResult=form_max_video_width,core,max_video_width,,youtube
app=core&module=settings&controller=posting&tab=general&searchResult=form_merge_concurrent_posts,core,merge_concurrent_posts,,combine
app=core&module=settings&controller=posting&tab=general&searchResult=form_max_video_width,core,max_video_width,,media
app=core&module=settings&controller=posting&tab=general&searchResult=form_max_video_width,core,max_video_width,,videos
app=core&module=settings&controller=posting&tab=general&searchResult=form_max_video_width,core,max_video_width,,vimeo
app=core&module=settings&controller=posting&tab=general&searchResult=form_max_video_width,core,max_video_width,,embedded
app=core&module=settings&controller=posting&tab=general&searchResult=form_flood_control,core,flood_control,,limit
app=core&module=settings&controller=posting&tab=general&searchResult=form_attach_allowed_types,core,attach_allowed_types,,extensions
app=core&module=settings&controller=posting&tab=general&searchResult=form_max_title_length,core,max_title_length,,titles
app=core&module=settings&controller=posting&tab=general&searchResult=form_flood_control,core,flood_control,,posting
app=core&module=settings&controller=posting&tab=general&searchResult=form_flood_control,core,flood_control,,flood
app=core&module=settings&controller=posting&tab=general&searchResult=form_edit_log,core,edit_log,,log
app=core&module=settings&controller=posting&tab=general&searchResult=form_edit_log,core,edit_log,,edit
app=core&module=settings&controller=posting&tab=general&searchResult=form_attach_allowed_types,core,attach_allowed_types,,uploads
app=core&module=settings&controller=posting&tab=general&searchResult=form_attach_allowed_types,core,attach_allowed_types,,attachments
app=core&module=settings&controller=posting&tab=general&searchResult=form_allow_remote_images,core,allow_remote_images,,remote
app=core&module=settings&controller=posting&tab=general&searchResult=form_allow_remote_images,core,allow_remote_images,,linked
app=core&module=settings&controller=posting&tab=general&searchResult=attachment_image_size,core,attachment_image_size,,images
