pid,start_date,choices,starter_id,votes,poll_question,poll_view_voters
49,2016-12-19T02:36:46Z,"{""1"":{""question"":""What will we do with non-whites?"",""multi"":0,""choice"":{""1"":""Somewhat equal segregation where whites are still favored in the eyes of the law (Leadership positions, Civil Services, More or less like Rhodesia)"",""2"":""Segregation in which minorities have little rights and live in poverty."",""3"":""Deportation of all non-whites."",""4"":""Genocide of all non-whites.""},""votes"":{""1"":5,""2"":1,""3"":37,""4"":11}}}",13240,54,What will we do with non-whites?,FALSE
50,2017-01-31T16:21:37Z,"{""1"":{""question"":""What Scandinavian country are you from?"",""multi"":0,""choice"":{""1"":""Denmark"",""2"":""Iceland"",""3"":""Norway"",""4"":""Sweden"",""5"":""Faroe Islands (Denmark)"",""6"":""Greenland (Denmark)"",""7"":""Aaland (Finland, although the Finnish mainland is not Scandinavian)"",""8"":""Bornholm (Denmark)"",""9"":""Svalbard (Norway)"",""10"":""Schleswig-Holstein (Germany)""},""votes"":{""1"":1,""2"":1,""3"":3,""4"":1,""5"":0,""6"":2,""7"":1,""8"":0,""9"":1,""10"":0}}}",13946,10,What Scandinavian country are you from?,FALSE
51,2017-01-31T18:53:37Z,"{""1"":{""question"":""What part of Britain do you live in?"",""multi"":0,""choice"":{""1"":""Southern England (Greater London, Sussex, etc)"",""2"":""Wales"",""3"":""Northern England (Manchester, Liverpool, etc)"",""4"":""East Anglia (East England)"",""5"":""West England (Cornwall, Somerset, etc)"",""6"":""Scotland"",""7"":""Northern Ireland""},""votes"":{""1"":5,""2"":2,""3"":0,""4"":0,""5"":0,""6"":3,""7"":3}}}",13945,13,What part of the United Kingdom are you from?,FALSE
52,2017-02-07T20:15:36Z,"{""2"":{""question"":""Is the OP a retard? (If the OP dares to change the poll himself again there will be consequences.)"",""multi"":1,""choice"":{""1"":""Yes"",""2"":""No"",""3"":""Not retarded, just a 15 y\/o dumbass"",""4"":""Not retarded, just autistic"",""5"":""GAS HIM!"",""6"":""\u041a\u043e\u0441\u043e\u0432\u043e \u0458\u0435 \u0421\u0440\u0431\u0438\u0458\u0430!""},""votes"":{""1"":17,""2"":2,""3"":17,""4"":6,""5"":11,""6"":12}}}",13946,82,Is the OP a retard?,FALSE
53,2017-02-09T00:26:01Z,"{""1"":{""question"":""Have you ever been diagnosed with a mental disorder?"",""multi"":0,""choice"":{""1"":""Yes, and I think the diagnosis was pretty accurate."",""2"":""Yes, but the diagnose is bullshit."",""3"":""No, but I think have something."",""4"":""I'm mentally health person.""},""votes"":{""1"":2,""2"":2,""3"":5,""4"":10}}}",13488,19,Have you ever been diagnosed with a mental disorder?,FALSE
54,2017-02-23T23:07:45Z,"{""1"":{""question"":""Is The OP Stupid?"",""multi"":1,""choice"":{""1"":""Yes"",""2"":""No"",""3"":""He's learning"",""4"":""GAS GAS GAS!!!!! OY VEY SHUT HIM DOWN!!!!!!""},""votes"":{""1"":4,""2"":1,""3"":10,""4"":3}}}",13167,16,The Military???,FALSE
55,2017-05-28T18:40:02Z,"{""1"":{""question"":""What is the best option to support"",""multi"":0,""choice"":{""1"":""Casapound"",""2"":""Forza Nuova""},""votes"":{""1"":10,""2"":1}}}",13893,11,What is the best option to support,TRUE
57,2017-08-02T18:25:00Z,"{""1"":{""question"":""Which group are you in?"",""multi"":0,""choice"":{""1"":""Married, no children"",""2"":""Married, with children"",""3"":""Not married, no children"",""4"":""Not married, with children""},""votes"":{""1"":1,""2"":4,""3"":50,""4"":1}}}",14178,56,Children and Marriage Status,FALSE
58,2017-08-15T00:10:01Z,"{""1"":{""question"":""Pick the option that applies to you."",""multi"":0,""choice"":{""1"":""I am currently an active member of an existing and well established NS movement (ex: NRM or GD)"",""2"":""I am currently an active member of an existing NS group that has been created through IM (ex: AWD or AR)"",""3"":""I am currently an active member of an existing NS group that was not created through IM"",""4"":""I am currently working with comrades towards the creation of a new NS group"",""5"":""I am not currently an active member of any group or movement""},""votes"":{""1"":7,""2"":17,""3"":14,""4"":20,""5"":39}}}",1,97,IM Activism Poll,FALSE
59,2017-08-18T14:37:15Z,"{""1"":{""question"":""Pick what faith\/belief\/spiritual teaching you follow."",""multi"":0,""choice"":{""1"":""Esoteric Fascism\/Hitlerism"",""2"":""Catholicism"",""3"":""Orthodoxy"",""4"":""European Paganism"",""5"":""Eastern Tradition (Buddhism, \""Hinduism\"", Taoism, etc)"",""6"":""Agnostic (generally believe in a higher power but don't follow any specific faith\/teaching)"",""7"":""Filthy Heretic (ex: protestantism, islam, theosophy, any new age crap)"",""8"":""Filthy Atheist (including creativity)"",""9"":""Total Fucking Retard (Satanism, O9A, Kekism, etc)""},""votes"":{""1"":49,""2"":16,""3"":21,""4"":14,""5"":1,""6"":19,""7"":9,""8"":4,""9"":3}}}",1,136,IM Faith Poll,TRUE
60,2017-10-05T11:29:10Z,"{""1"":{""question"":""Which white nationalist group is the most autistic?"",""multi"":0,""choice"":{""1"":""NSM"",""2"":""VA"",""3"":""TWP (also trad youth)"",""4"":""Modern \""KKK\"""",""5"":""Identity Evropa"",""6"":""\""putin is based\"" MAGA idiots"",""7"":""\""Kekistan\"" autists"",""8"":""Other dumb faggot splinter grouos of the same type"",""9"":""Anything I missed""},""votes"":{""1"":2,""2"":0,""3"":0,""4"":1,""5"":4,""6"":8,""7"":31,""8"":0,""9"":0}}}",13167,46,Poll: Which huwhyte nationalist group is the most autistic?,FALSE
