index_author_id,index_item_id,index_class
13558,34,IPS\forums\Topic
13591,34,IPS\forums\Topic
13661,34,IPS\forums\Topic
13681,34,IPS\forums\Topic
13682,34,IPS\forums\Topic
13686,34,IPS\forums\Topic
13688,34,IPS\forums\Topic
13692,34,IPS\forums\Topic
13702,34,IPS\forums\Topic
13704,34,IPS\forums\Topic
13769,34,IPS\forums\Topic
13771,34,IPS\forums\Topic
13826,34,IPS\forums\Topic
13827,34,IPS\forums\Topic
13839,34,IPS\forums\Topic
13860,34,IPS\forums\Topic
13880,34,IPS\forums\Topic
13893,34,IPS\forums\Topic
13950,34,IPS\forums\Topic
13964,34,IPS\forums\Topic
14040,34,IPS\forums\Topic
14041,34,IPS\forums\Topic
14044,34,IPS\forums\Topic
14072,34,IPS\forums\Topic
14097,34,IPS\forums\Topic
14135,34,IPS\forums\Topic
14156,34,IPS\forums\Topic
14161,34,IPS\forums\Topic
14173,34,IPS\forums\Topic
14199,34,IPS\forums\Topic
14201,34,IPS\forums\Topic
14238,34,IPS\forums\Topic
14268,34,IPS\forums\Topic
14300,34,IPS\forums\Topic
14309,34,IPS\forums\Topic
14382,34,IPS\forums\Topic
14404,34,IPS\forums\Topic
14434,34,IPS\forums\Topic
14452,34,IPS\forums\Topic
14494,34,IPS\forums\Topic
14542,34,IPS\forums\Topic
14568,34,IPS\forums\Topic
14569,34,IPS\forums\Topic
14572,34,IPS\forums\Topic
14617,34,IPS\forums\Topic
14651,34,IPS\forums\Topic
15036,34,IPS\forums\Topic
1,35,IPS\calendar\Event
2,35,IPS\forums\Topic
5,35,IPS\forums\Topic
9,35,IPS\forums\Topic
14,35,IPS\forums\Topic
16,35,IPS\forums\Topic
1,36,IPS\calendar\Event
13861,36,IPS\calendar\Event
14404,36,IPS\calendar\Event
14407,36,IPS\calendar\Event
5,36,IPS\forums\Topic
7,36,IPS\forums\Topic
9,36,IPS\forums\Topic
12,36,IPS\forums\Topic
1,37,IPS\calendar\Event
143,37,IPS\core\Statuses\Status
1,37,IPS\forums\Topic
2,37,IPS\forums\Topic
3,37,IPS\forums\Topic
4,37,IPS\forums\Topic
8,37,IPS\forums\Topic
9,37,IPS\forums\Topic
14,37,IPS\forums\Topic
16,37,IPS\forums\Topic
1,38,IPS\calendar\Event
9679,38,IPS\calendar\Event
0,38,IPS\forums\Topic
9,38,IPS\forums\Topic
7,39,IPS\calendar\Event
1,40,IPS\calendar\Event
130,40,IPS\core\Statuses\Status
1,41,IPS\calendar\Event
143,41,IPS\core\Statuses\Status
1,42,IPS\calendar\Event
143,42,IPS\core\Statuses\Status
143,43,IPS\core\Statuses\Status
0,43,IPS\forums\Topic
1,43,IPS\forums\Topic
16,44,IPS\core\Statuses\Status
0,44,IPS\forums\Topic
9,44,IPS\forums\Topic
12,44,IPS\forums\Topic
13,44,IPS\forums\Topic
16,44,IPS\forums\Topic
19,44,IPS\forums\Topic
48,44,IPS\forums\Topic
56,44,IPS\forums\Topic
65,44,IPS\forums\Topic
67,44,IPS\forums\Topic
91,44,IPS\forums\Topic
168,44,IPS\forums\Topic
1104,44,IPS\forums\Topic
7816,44,IPS\forums\Topic
1,45,IPS\calendar\Event
143,45,IPS\core\Statuses\Status
1,45,IPS\forums\Topic
2,45,IPS\forums\Topic
9,45,IPS\forums\Topic
11,45,IPS\forums\Topic
12,45,IPS\forums\Topic
13,45,IPS\forums\Topic
29,45,IPS\forums\Topic
65,45,IPS\forums\Topic
1,46,IPS\calendar\Event
6113,46,IPS\calendar\Event
13257,46,IPS\calendar\Event
13771,46,IPS\calendar\Event
14382,46,IPS\calendar\Event
14407,46,IPS\calendar\Event
14572,46,IPS\calendar\Event
130,46,IPS\core\Statuses\Status
0,46,IPS\forums\Topic
1,46,IPS\forums\Topic
2,46,IPS\forums\Topic
3,46,IPS\forums\Topic
5,46,IPS\forums\Topic
7,46,IPS\forums\Topic
8,46,IPS\forums\Topic
9,46,IPS\forums\Topic
11,46,IPS\forums\Topic
13,46,IPS\forums\Topic
16,46,IPS\forums\Topic
29,46,IPS\forums\Topic
40,46,IPS\forums\Topic
