tag_id,tag_aai_lookup,tag_aap_lookup,tag_meta_app,tag_meta_area,tag_meta_id,tag_meta_parent_id,tag_member_id,tag_added,tag_prefix,tag_text
129,294c5a3fb533255ef6015789a20c0d57,652894f9fbf4e40ad44724b0464fd8d6,forums,forums,387,62,89,2011-12-16T11:54:54Z,FALSE,Help
174,f29c5ed52bafa85ad04244a541bc3317,51253f5c665ed2a553bb0ca164d8b500,forums,forums,398,94,1,2012-01-27T12:30:00Z,FALSE,Revolution
137,0b299dc51e645bd06c6a2f736973c428,a8ec894f1cd7456aede97242cbe1b6a5,forums,forums,403,148,89,2011-12-19T20:12:05Z,FALSE,Fascism
138,0b299dc51e645bd06c6a2f736973c428,a8ec894f1cd7456aede97242cbe1b6a5,forums,forums,403,148,89,2011-12-19T20:12:05Z,FALSE,England
139,0b299dc51e645bd06c6a2f736973c428,a8ec894f1cd7456aede97242cbe1b6a5,forums,forums,403,148,89,2011-12-19T20:12:05Z,FALSE,UK
140,0b299dc51e645bd06c6a2f736973c428,a8ec894f1cd7456aede97242cbe1b6a5,forums,forums,403,148,89,2011-12-19T20:12:05Z,FALSE,Britain
141,0b299dc51e645bd06c6a2f736973c428,a8ec894f1cd7456aede97242cbe1b6a5,forums,forums,403,148,89,2011-12-19T20:12:05Z,FALSE,Mosley
142,0b299dc51e645bd06c6a2f736973c428,a8ec894f1cd7456aede97242cbe1b6a5,forums,forums,403,148,89,2011-12-19T20:12:05Z,FALSE,Blackshirts
143,0b299dc51e645bd06c6a2f736973c428,a8ec894f1cd7456aede97242cbe1b6a5,forums,forums,403,148,89,2011-12-19T20:12:05Z,FALSE,Oswald
144,0b299dc51e645bd06c6a2f736973c428,a8ec894f1cd7456aede97242cbe1b6a5,forums,forums,403,148,89,2011-12-19T20:12:05Z,FALSE,British Union of Fascists
145,addb5e09d2f40ef28cb9279b71d09013,956ad2d2939099a2185452a31071f22e,forums,forums,410,75,35,2011-12-21T13:04:10Z,FALSE,Reaktion!
146,addb5e09d2f40ef28cb9279b71d09013,956ad2d2939099a2185452a31071f22e,forums,forums,410,75,35,2011-12-21T13:04:10Z,FALSE,Fascist Journal
147,addb5e09d2f40ef28cb9279b71d09013,956ad2d2939099a2185452a31071f22e,forums,forums,410,75,35,2011-12-21T13:04:10Z,FALSE,American Fascism
148,addb5e09d2f40ef28cb9279b71d09013,956ad2d2939099a2185452a31071f22e,forums,forums,410,75,35,2011-12-21T13:04:10Z,FALSE,Write
149,70d1c6bfbe69f002ca8347a84e91a393,4fbeb3c9ac442b9608a5a7ee84bd1eb5,forums,forums,413,88,61,2011-12-22T02:42:54Z,FALSE,Syria
150,70d1c6bfbe69f002ca8347a84e91a393,4fbeb3c9ac442b9608a5a7ee84bd1eb5,forums,forums,413,88,61,2011-12-22T02:42:54Z,FALSE,Al-Assad
151,03057331e4ce5433937bb62773cb2d7f,4fbeb3c9ac442b9608a5a7ee84bd1eb5,forums,forums,444,60,61,2011-12-29T20:33:14Z,FALSE,Night of Long Knives
152,5d6592bee4ef8712787cabc335db278d,42127c729dd1871f500f9c583c4a30dd,forums,forums,453,60,100,2012-01-05T00:18:39Z,FALSE,introduction
153,5e68415375cdd7723fd78a01969b29c8,4fbeb3c9ac442b9608a5a7ee84bd1eb5,forums,forums,466,106,35,2012-01-12T14:02:46Z,FALSE,return your revolt into style
154,5e68415375cdd7723fd78a01969b29c8,4fbeb3c9ac442b9608a5a7ee84bd1eb5,forums,forums,466,106,35,2012-01-12T14:02:46Z,FALSE,iron youth
155,5e68415375cdd7723fd78a01969b29c8,4fbeb3c9ac442b9608a5a7ee84bd1eb5,forums,forums,466,106,35,2012-01-12T14:02:46Z,FALSE,iron youth clothes
156,5e68415375cdd7723fd78a01969b29c8,4fbeb3c9ac442b9608a5a7ee84bd1eb5,forums,forums,466,106,35,2012-01-12T14:02:46Z,FALSE,clothes
157,5e68415375cdd7723fd78a01969b29c8,4fbeb3c9ac442b9608a5a7ee84bd1eb5,forums,forums,466,106,35,2012-01-12T14:02:46Z,FALSE,fatigues
158,5e68415375cdd7723fd78a01969b29c8,4fbeb3c9ac442b9608a5a7ee84bd1eb5,forums,forums,466,106,35,2012-01-12T14:02:46Z,FALSE,camo
159,5e68415375cdd7723fd78a01969b29c8,4fbeb3c9ac442b9608a5a7ee84bd1eb5,forums,forums,466,106,35,2012-01-12T14:02:46Z,FALSE,attire
160,56b94dc87c6a2433db9ab9e9156b6574,4fbeb3c9ac442b9608a5a7ee84bd1eb5,forums,forums,476,30,65,2012-01-16T12:14:06Z,FALSE,PETA Animal Rights Activism
161,75c25c15ed3bd71192e69ec1a0587ce3,0e2cc9595cdd468bc3f1f9e946c8d63b,forums,forums,498,88,100,2012-01-24T15:47:17Z,FALSE,Antisemitism
162,75c25c15ed3bd71192e69ec1a0587ce3,0e2cc9595cdd468bc3f1f9e946c8d63b,forums,forums,498,88,100,2012-01-24T15:47:17Z,FALSE,Shoa
163,75c25c15ed3bd71192e69ec1a0587ce3,0e2cc9595cdd468bc3f1f9e946c8d63b,forums,forums,498,88,100,2012-01-24T15:47:17Z,FALSE,Germany
164,75c25c15ed3bd71192e69ec1a0587ce3,0e2cc9595cdd468bc3f1f9e946c8d63b,forums,forums,498,88,100,2012-01-24T15:47:17Z,FALSE,Charlotte Knobloch
165,75c25c15ed3bd71192e69ec1a0587ce3,0e2cc9595cdd468bc3f1f9e946c8d63b,forums,forums,498,88,100,2012-01-24T15:47:17Z,FALSE,Holocaust
166,75c25c15ed3bd71192e69ec1a0587ce3,0e2cc9595cdd468bc3f1f9e946c8d63b,forums,forums,498,88,100,2012-01-24T15:47:17Z,FALSE,Right-wing extremism
167,75c25c15ed3bd71192e69ec1a0587ce3,0e2cc9595cdd468bc3f1f9e946c8d63b,forums,forums,498,88,100,2012-01-24T15:47:17Z,FALSE,Societal problems
168,2594328a98949823ea09cb279db2a619,964b8b0a533a4160c095e0897aba46f7,forums,forums,502,62,68,2012-01-26T03:14:18Z,FALSE,Ernst Jünger
169,2594328a98949823ea09cb279db2a619,964b8b0a533a4160c095e0897aba46f7,forums,forums,502,62,68,2012-01-26T03:14:18Z,FALSE,Jünger
170,114305c94e1b30a3673eeaccec556abc,964b8b0a533a4160c095e0897aba46f7,forums,forums,503,62,68,2012-01-26T03:50:14Z,FALSE,Ernst Jünger
171,114305c94e1b30a3673eeaccec556abc,964b8b0a533a4160c095e0897aba46f7,forums,forums,503,62,68,2012-01-26T03:50:14Z,FALSE,Jünger
173,6aa1f25aaee043bf9c6103b8ab38d5f9,755971d22a41f2b0cdfada68a5683ec7,forums,forums,198,88,1,2012-01-27T12:14:45Z,FALSE,Libya Gaddafi Revolution
175,c0edbd67565fc4f20b389f542ca38e93,4fbeb3c9ac442b9608a5a7ee84bd1eb5,forums,forums,519,75,61,2012-01-31T06:01:05Z,FALSE,Robespierre
1773,e7ef104671d4457d25e81ac60b1c9b72,4fbeb3c9ac442b9608a5a7ee84bd1eb5,forums,forums,545,85,1,2014-03-04T14:41:09Z,FALSE,Goldberg
1772,e7ef104671d4457d25e81ac60b1c9b72,4fbeb3c9ac442b9608a5a7ee84bd1eb5,forums,forums,545,85,1,2014-03-04T14:41:09Z,FALSE,Jonah
1771,e7ef104671d4457d25e81ac60b1c9b72,4fbeb3c9ac442b9608a5a7ee84bd1eb5,forums,forums,545,85,1,2014-03-04T14:41:09Z,FALSE,Fascism
1770,e7ef104671d4457d25e81ac60b1c9b72,4fbeb3c9ac442b9608a5a7ee84bd1eb5,forums,forums,545,85,1,2014-03-04T14:41:09Z,FALSE,Liberal
180,c6d04239b229787812fdfca6fdbb1fc2,4fbeb3c9ac442b9608a5a7ee84bd1eb5,forums,forums,548,100,134,2012-02-04T17:57:24Z,FALSE,National Socialism
181,e62fd7d81f0121315c304ee5d611ba7c,51253f5c665ed2a553bb0ca164d8b500,forums,forums,551,75,140,2012-02-05T18:56:26Z,FALSE,Kai
182,e62fd7d81f0121315c304ee5d611ba7c,51253f5c665ed2a553bb0ca164d8b500,forums,forums,551,75,140,2012-02-05T18:56:26Z,FALSE,Murros
183,e62fd7d81f0121315c304ee5d611ba7c,51253f5c665ed2a553bb0ca164d8b500,forums,forums,551,75,140,2012-02-05T18:56:26Z,FALSE,Revolution
184,e62fd7d81f0121315c304ee5d611ba7c,51253f5c665ed2a553bb0ca164d8b500,forums,forums,551,75,140,2012-02-05T18:56:26Z,FALSE,national
185,11ed5b5dbbe36211789345dae9b1cd11,4fbeb3c9ac442b9608a5a7ee84bd1eb5,forums,forums,559,78,61,2012-02-08T02:54:49Z,FALSE,Ezra Pound
186,3dc463f47d2fbff1054c41fa96795c6b,4fbeb3c9ac442b9608a5a7ee84bd1eb5,forums,forums,565,99,61,2012-02-09T06:08:18Z,FALSE,School
187,b8cb7252b1b9db32ba6f8332be8c7b4e,755971d22a41f2b0cdfada68a5683ec7,forums,forums,584,87,23,2012-02-11T02:29:55Z,FALSE,France
188,b8cb7252b1b9db32ba6f8332be8c7b4e,755971d22a41f2b0cdfada68a5683ec7,forums,forums,584,87,23,2012-02-11T02:29:55Z,FALSE,Sarkozy
189,b8cb7252b1b9db32ba6f8332be8c7b4e,755971d22a41f2b0cdfada68a5683ec7,forums,forums,584,87,23,2012-02-11T02:29:55Z,FALSE,LePen
190,b8cb7252b1b9db32ba6f8332be8c7b4e,755971d22a41f2b0cdfada68a5683ec7,forums,forums,584,87,23,2012-02-11T02:29:55Z,FALSE,far-right news
191,63b1d01ec45f51a7cef4e090339bcdac,755971d22a41f2b0cdfada68a5683ec7,forums,forums,585,87,23,2012-02-11T02:35:21Z,FALSE,Spain
192,63b1d01ec45f51a7cef4e090339bcdac,755971d22a41f2b0cdfada68a5683ec7,forums,forums,585,87,23,2012-02-11T02:35:21Z,FALSE,human-rights
193,63b1d01ec45f51a7cef4e090339bcdac,755971d22a41f2b0cdfada68a5683ec7,forums,forums,585,87,23,2012-02-11T02:35:21Z,FALSE,anti-fascists
194,5e834798815137405e42c29ad3f9c7d4,0e2cc9595cdd468bc3f1f9e946c8d63b,forums,forums,594,88,65,2012-02-12T14:33:14Z,FALSE,Australia Bob Katter New
4068,cef09bfb471b4afd7506c52af74d80f4,1d7b8a34d35bb07bc2f38523d958299d,forums,forums,6163,88,7600,2016-03-08T02:14:58Z,FALSE,holohoax
196,efe095de3fedfc291ffa2049abf9be83,c6dbf78127210280895cda9440113396,forums,forums,616,61,68,2012-02-20T04:57:26Z,FALSE,suggestion
197,efe095de3fedfc291ffa2049abf9be83,c6dbf78127210280895cda9440113396,forums,forums,616,61,68,2012-02-20T04:57:26Z,FALSE,suggestions
3589,acea5c3e22211e73d35589cffb254ab8,b475efb500f6079448ab7572479f3f80,forums,forums,5772,87,1,2015-11-14T00:49:00Z,FALSE,War
200,f29e52a628ebe37a3898d4ba2174faff,755971d22a41f2b0cdfada68a5683ec7,forums,forums,641,88,23,2012-02-25T02:24:47Z,FALSE,Multiculturalism
201,f29e52a628ebe37a3898d4ba2174faff,755971d22a41f2b0cdfada68a5683ec7,forums,forums,641,88,23,2012-02-25T02:24:47Z,FALSE,UK
